"gene","nes","pval"
"ZNF211",-0.520825862170304,0.602488085173951
"NR4A3",0.518901483257063,0.603829443382178
"ZXDA",0.514721183745214,0.606747868226967
"HOXB4",-0.513835589261174,0.607366943362094
"ADNP",-0.512708479123771,0.608155257571489
"HOXA5",-0.512207944839328,0.608505483349639
"ZNF700",-0.511803545305867,0.608788508859469
"ZMAT4",-0.51043742551477,0.60974504277451
"FLI1",-0.508717539421693,0.61095022648778
"ZNF160",-0.5071074414508,0.612079433973799
"NKRF",0.505875509035407,0.612944046169773
"ZNF516",-0.504294264361071,0.614054607403868
"HOXA10",-0.503290345367685,0.614760153343731
"TIGD7",-0.503149800485709,0.614858955586865
"ZNF563",-0.501519737863475,0.616005390311292
"GRHL2",-0.49972863557481,0.617266166423076
"ZNF124",-0.498424991307614,0.61818452568357
"GZF1",0.49811252711012,0.618404731504942
"FOSL2",-0.497372172090424,0.618926625626154
"ZBTB48",0.493667991822397,0.621540674009352
"ZNF91",-0.48822595264844,0.625389803763256
"EOMES",-0.485179209549575,0.627549228443786
"ZNF519",0.482684464038668,0.629319796023691
"PHF1",-0.482061572138276,0.629762207220785
"MYPOP",-0.480887042174074,0.630596782681314
"ZSCAN16",-0.47626291525791,0.633887081982372
"ZSCAN22",-0.474904877225561,0.634854774974988
"ZNF595",-0.474809351763943,0.634922866777608
"ZBTB34",-0.474797696593489,0.63493117494747
"ZFAT",-0.473577919356607,0.635800924316892
"ZNF599",-0.47255645282582,0.636529657004634
"GLI1",-0.470756645080281,0.6378145281579
"THAP9",-0.470242816448434,0.638181547096029
"TCF12",-0.469714907403355,0.638558715800281
"ATF6",-0.468988234789346,0.639078045651647
"PRDM15",-0.46814380765828,0.639681753274184
"HOXC10",-0.46703647307766,0.640473783429229
"ZNF620",-0.466003272209877,0.641213158342839
"ZNF443",-0.464730120458841,0.642124735566714
"MEIS2",-0.464112482757821,0.642567158861117
"GTF2B",0.463667044523098,0.642886311786926
"CIC",-0.463186383960188,0.643230775175473
"ZBTB18",-0.461914652450368,0.644142526012629
"PRR12",-0.461618181032457,0.644355154265276
"ZNF30",-0.460958357246851,0.644828481987461
"ELK1",-0.459385801939001,0.645957142198818
"MAFG",0.457587345142353,0.647248936953122
"SP3",-0.456188252650943,0.648254612154852
"DDIT3",0.456157342757012,0.648276837607799
"THAP1",-0.455312430510335,0.64888448468738
"CARF",-0.455088698303021,0.649045428401544
"HES2",0.453388766238419,0.650268824192178
"ZNF708",-0.451194899426619,0.651849085457506
"ZNF787",-0.450106972511499,0.652633309483181
"RUNX2",0.449550616448608,0.653034503103739
"MYRF",-0.448959898023597,0.65346058559046
"ZNF408",-0.446413095936845,0.655298874723363
"PHF21A",-0.446137765792892,0.655497734247344
"ESR2",-0.445698799174194,0.655814832114163
"EBF4",-0.445055825503803,0.656279411260302
"FOXP4",-0.44243677170012,0.658173174796306
"NFIL3",-0.44228127206397,0.658285681328755
"THAP11",-0.441371653491947,0.658943960206584
"ZNF414",-0.440558781324499,0.659532448671254
"NR1D1",-0.440434729279635,0.659622276169531
"ZBTB26",-0.439816146060723,0.660070272555977
"ZNF133",0.437618639902041,0.661662756717234
"ZHX3",-0.43638770712288,0.662555456404132
"SLC2A4RG",-0.434756247446263,0.663739366031148
"ZEB1",0.433926519214848,0.664341801540121
"ZNF808",-0.433893958542067,0.664365447086971
"ZNF354C",-0.433640205598595,0.664549733812309
"FOXK1",-0.433094367175795,0.664946214779478
"PBX4",-0.432775497615274,0.66517787562609
"ZNF219",-0.431918526018741,0.66580062953334
"GPBP1L1",-0.43149008578062,0.666112059846039
"AHCTF1",-0.431477562885931,0.666121163519837
"ZNF44",-0.430848133707825,0.666578798223311
"ZNF226",-0.430054368979423,0.667156092178729
"RFX8",-0.429725634564107,0.667395233842878
"ZNF552",-0.424928715654769,0.67088864065601
"RELB",0.424597207790796,0.671130328837364
"ARID5A",0.423319134402776,0.672062435621627
"ZNF483",0.422511197517153,0.672651929272665
"ZNF551",-0.42133896187205,0.673507583390175
"ZNF615",-0.420784467036851,0.673912475098919
"GLI4",-0.420400256717886,0.674193080603076
"AHDC1",-0.41998943914339,0.67449316868703
"CDC5L",-0.419158419435296,0.675100358223357
"ZNF672",0.417708377987613,0.676160346089622
"VEZF1",-0.417581827506347,0.676252885648889
"RXRB",-0.416921084810276,0.676736130635116
"ELF2",-0.416320661946743,0.677175375193432
"ZNF43",-0.414726400045671,0.678342203861481
"BACH1",-0.413634503503034,0.679141800415931
"FOXC1",-0.412384483774265,0.680057634104621
"FOXJ3",-0.409547264272148,0.682138088684451
"DMTF1",-0.408646444481925,0.68279914149251
"PRDM2",-0.406768939369019,0.684177701624391
"ZBED2",-0.406177506213543,0.684612180385941
"ZNF736",-0.405834807545425,0.684863981535255
"POGK",-0.40203425715652,0.687658814900428
"FOXD1",0.401888676870932,0.687765956343731
"ZBTB37",-0.401596412730992,0.687981070337335
"ZBED3",-0.398752265394091,0.690075752711038
"NR2C1",-0.394806477234711,0.692985714317018
