"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","NK_cluster"
"GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN",0.0011110078214339,0.0343718044756112,0.45505986738723,-0.715259975702103,-1.91666934624218,27,"CCL5;GZMB;PRDM1;GNPTAB;CSF1;FASLG;F2R;EFHD2","3"
"GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_DN",0.00135610059012888,0.0374486848160175,0.45505986738723,0.629984260843614,1.78697240688506,56,"IL7R;GPR183;SRGN;TCF7;BTG1;TNFAIP3;DDX5;AREG;SOX4;MCL1;EIF1;CXCR4;DDX3X;PDE4B;JUNB","3"
"GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_DN",0.00136177035694609,0.0374486848160175,0.45505986738723,-0.740115134918587,-1.92218388946378,22,"CCL5;GZMA;ADGRG1;PLEKHF1;F2R;CTSC;PLEK","3"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP",0.0016701821353245,0.0435126398413489,0.45505986738723,0.716170307865633,1.84555065837822,30,"LMNA;CCR7;MAFF;BTG1;TNFAIP3;AREG;BIRC3;EIF1;PABPC1","3"
"GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",1e-10,6.69e-08,NA,-0.624167100836547,-2.67942007063261,69,"FGFBP2;PRF1;CST7;ZEB2;GZMB;SYTL3;EFHD2;GNLY;NKG7;CAST;GZMH;MBP;PTGDR;AUTS2;MAP3K8;TNFRSF1B;CCL4;CHST12;APMAP;MYBL1;ADGRG1;CTDSP1;RAP2B;MCTP2;PTP4A2;TTC38;FYN;BHLHE40;AHNAK;CXXC5;PTPN4;KLRD1;HOPX;CD226;ITGAL;TNFSF12;PDIA6","4"
"GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN",2.17623260228282e-09,7.27949805463604e-07,0.774939030136436,0.858861381253191,2.30676405745151,61,"DNAJB1;HSPA1A;HSP90AA1;DUSP1;RHOB;JUNB;FOSB;UBC;HSP90AB1;NR4A1;CD69;IFNG;ZFAND2A;CITED2;ATF3;DNAJA4;RGS2;HEXIM1;HSPA2;BTG2;TUBA1A;KLF6;PLK2;PLK3;ARL4D;GLA;NABP1","4"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN",1.37120790520933e-07,3.0577936286168e-05,0.690132458796796,0.875208865741256,2.22608527972722,43,"JUN;DUSP1;RHOB;FOS;FOSB;EGR1;BAG3;IFNG;FTL;IER2;RGS2;EIF1;SOCS3;KLF6;ZFP36;ZFP36L1;SRSF7","4"
"GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN",1.24656021330749e-06,0.000208487195675678,0.643551836150722,-0.5399793059731,-2.30171241446195,66,"FGFBP2;PRF1;CST7;ZEB2;SYTL3;EFHD2;NKG7;CAST;GZMH;PTGDR;AUTS2;MAP3K8;TNFRSF1B;APMAP;MYBL1;ADGRG1;RUNX3;MCTP2;PTP4A2;TTC38;FYN;BHLHE40;AHNAK","4"
"GSE45365_NK_CELL_VS_BCELL_UP",1.88775667459677e-06,0.000252581843061048,0.643551836150722,0.84743667983098,2.16608108403711,44,"HSP90AA1;DUSP1;DNAJA1;FOS;JUNB;FOSB;EGR1;IER2;ATF3;RGS2;ID3;CD83;IER5;ZFP36;PHLDA1;NABP1;IFRD1;CSRNP1;ICAM1;GEM","4"
"GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN",2.57551943160717e-06,0.0002871704166242,0.627256739718528,0.923409432434517,2.06123522149723,19,"HSPA1A;DUSP1;GADD45B;PPP1R15A;JUNB;FOSB;CD69;IFNG;HEXIM1;CKS2","4"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN",5.82811785867947e-06,0.000557001549636652,0.610526878385931,-0.619872883960086,-2.2840021824787,35,"PRF1;GZMB;PTPRC;CD38;GZMH;N4BP2L2;ADGRG1;EID1;ARPC5;PLEK;MCTP2;LRRFIP1;MIS18BP1;TTC38;PPIA;PYCARD;PGLS;PSME2;SRPK2","4"
"GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP",1.80266667383114e-05,0.00150748000599129,0.575610261071129,0.829811057936503,2.14125398153887,47,"HSPA1B;HSPA1A;DUSP1;GADD45B;PPP1R15A;NR4A1;ATF3;SERTAD1;KLF6;IER5;EGR2;CSRNP1;PPP1R10;ICAM1","4"
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN",3.55278705121559e-05,0.00264090504140359,0.557332238758646,0.823526995695813,2.12503851518129,47,"HSPA1B;DUSP1;PPP1R15A;FOSB;HSP90AB1;EGR1;HSPE1;FTL;NFKBIA;SOCS3;KLF6;ZFP36","4"
"GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN",8.84747193228367e-05,0.00591895872269778,0.538434096309916,0.809813440391728,2.08965189961974,47,"JUN;DUSP1;RHOB;FOS;FOSB;HSP90AB1;HSPE1;IFNG;RGS2;EIF1;SOCS3;KLF6;NFKBIZ;ZFP36;SRSF7","4"
"GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP",0.000102459792411399,0.00623141828392966,0.538434096309916,-0.597461662317694,-2.12960152935831,31,"PRF1;GZMB;CX3CR1;NKG7;GZMH;GTF3C1;CHST12;ATM;APMAP;MYBL1;NCR3;PLEK;SFSWAP","4"
"GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP",0.000176922496116718,0.00986342915850702,0.518848077743792,-0.572974876439154,-2.09423198855969,34,"PRF1;ZEB2;SYTL3;ITGB2;CX3CR1;FLNA;SEC14L1;CCND3;S1PR5;CCL4;TRAPPC1","4"
"GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN",0.000226179121702479,0.0116395255706891,0.518848077743792,0.846628643379539,1.98027802299299,27,"JUN;PPP1R15A;FOSB;NR4A1;EGR1;IER3;DUSP2;BTG2;SOCS3;EGR2","4"
