"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.8959993890242e-58,2.8906585261698,0.962,0.496,5.48907353919619e-54,"5","TUBA1B"
4.04226088529195e-58,2.30713627327638,0.962,0.456,5.69514136128783e-54,"5","HMGN2"
6.66694556101275e-58,1.78683285968506,0.315,0.033,9.39305960091087e-54,"5","RHNO1"
6.76651537462942e-58,2.1515028117483,0.385,0.049,9.53334351131539e-54,"5","POLD2"
7.95163309017649e-58,2.43917131863969,0.185,0.011,1.12030558607497e-53,"5","PARP2"
1.07947637262529e-57,1.16474135525245,0.708,0.137,1.52087426139177e-53,"5","SMS"
1.49823609679231e-57,1.38833260607994,0.477,0.07,2.11086483677069e-53,"5","POP7"
8.67862309724714e-57,1.59930557299507,0.562,0.097,1.22273120817115e-52,"5","DNPH1"
1.60846220877318e-56,3.74274924286299,0.108,0.003,2.26616240594054e-52,"5","SAPCD2"
2.29522937508507e-56,1.29317477143104,0.477,0.071,3.23374866655735e-52,"5","MAGOHB"
1.34545104573031e-55,2.54623198451505,0.162,0.009,1.89560597832944e-51,"5","RCCD1"
2.69992910139779e-55,1.46658345810297,0.669,0.133,3.80393011095935e-51,"5","MAD2L2"
4.1468084893354e-55,1.56038827347361,0.377,0.048,5.84243848062464e-51,"5","MYCBP"
7.38019203955371e-55,2.24163597409152,0.269,0.026,1.03979525645272e-50,"5","LRR1"
1.1797483681462e-54,1.42078386048737,0.654,0.128,1.66214747588118e-50,"5","HPRT1"
3.64909596830759e-54,2.03525235235024,0.392,0.054,5.14121130974856e-50,"5","CKAP2"
4.69262830084477e-54,1.68961337381647,0.9,0.265,6.6114440130602e-50,"5","RANBP1"
5.66156534618072e-54,1.44840731646131,0.508,0.083,7.97657941623402e-50,"5","DPM2"
7.68811425869672e-54,1.39928197164093,0.446,0.066,1.08317841790778e-49,"5","ACYP1"
2.17045823895176e-53,2.05966623144327,0.285,0.029,3.05795861285913e-49,"5","NCAPD2"
2.68162789492372e-53,1.38402495558959,0.562,0.1,3.77814554115803e-49,"5","GLO1"
6.76961447887919e-53,1.75359764460874,0.785,0.202,9.53770983929289e-49,"5","NUCB2"
7.94708653349533e-53,1.85014314324471,0.223,0.018,1.11966502170416e-48,"5","HAUS8"
1.32458665674213e-52,1.87091107061126,0.285,0.03,1.86621014068398e-48,"5","BLM"
1.46341080825235e-52,2.6969727290327,0.138,0.007,2.06179948774673e-48,"5","INCENP"
1.47898836988034e-52,1.58945509792156,0.431,0.064,2.08374671432441e-48,"5","YEATS4"
3.38384976236577e-52,1.46411697448565,0.623,0.124,4.76750593019714e-48,"5","TMEM14C"
3.99356653034527e-52,1.33141149061756,0.562,0.102,5.62653588460345e-48,"5","PPIH"
7.11171669297087e-52,1.42395891902111,0.531,0.093,1.00196976487267e-47,"5","SSRP1"
8.68038177392693e-52,1.48325916609406,0.546,0.099,1.22297898812857e-47,"5","ZDHHC12"
1.04154630138287e-51,1.21007747821597,0.638,0.127,1.46743458401833e-47,"5","HINT2"
3.02636526743154e-51,1.29060078113006,0.738,0.165,4.2638460252843e-47,"5","RBBP7"
5.72963913505736e-51,2.26385090208874,0.208,0.017,8.07248857738231e-47,"5","RFWD3"
7.51596963541066e-51,1.58144655798964,0.415,0.061,1.05892496193301e-46,"5","ACAT2"
8.05562507882104e-51,1.65958841635294,0.315,0.037,1.1349570173551e-46,"5","MYL6B"
9.38656668636591e-51,2.87845275767618,0.115,0.005,1.32247338044209e-46,"5","MTFR2"
1.04348939553788e-50,2.01092032043702,0.238,0.022,1.47017220937332e-46,"5","CEP152"
