"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"ADAM10",1.61640370137504e-09,-1.00753511191536,0.081,0.16,2.27735117486729e-05,"Upregulated in Mature Cytotoxic NK"
"ANXA4",1.93783814433668e-09,-1.42580831651272,0.046,0.111,2.73022016155594e-05,"Upregulated in Mature Cytotoxic NK"
"KIR2DL3",2.06709143865098e-09,-1.13310586489895,0.046,0.111,2.91232512791537e-05,"Upregulated in Mature Cytotoxic NK"
"IFNGR1",2.1926679943357e-09,-1.06471072470174,0.102,0.184,3.08924993721957e-05,"Upregulated in Mature Cytotoxic NK"
"BRD7",2.81103273779935e-09,-1.01842400949727,0.083,0.16,3.9604640242855e-05,"Upregulated in Mature Cytotoxic NK"
"ZBTB44",4.08661079987024e-09,-1.27173519843458,0.067,0.137,5.75762595593718e-05,"Upregulated in Mature Cytotoxic NK"
"NFKBID",4.27733950101862e-09,1.00500475438024,0.168,0.098,6.02634362298514e-05,"Upregulated in Activated Stressed NK"
"BLOC1S4",4.92929304300202e-09,-1.25206891038363,0.059,0.126,6.94488096828555e-05,"Upregulated in Mature Cytotoxic NK"
"GADD45A",5.40726833961869e-09,1.15472523053558,0.169,0.1,7.61830036368877e-05,"Upregulated in Activated Stressed NK"
"LLGL2",5.87181129002189e-09,-1.09987384480127,0.058,0.125,8.27279492651184e-05,"Upregulated in Mature Cytotoxic NK"
"ARL4D",6.51972846513492e-09,1.22135952660914,0.11,0.054,9.18564543452859e-05,"Upregulated in Activated Stressed NK"
"TMEM181",1.06915691329935e-08,-1.19297489513042,0.046,0.108,0.000150633517514745,"Upregulated in Mature Cytotoxic NK"
"KLF10",1.48852252583166e-08,1.13368124611281,0.11,0.054,0.000209717938664423,"Upregulated in Activated Stressed NK"
"TNFSF12",1.52833923127646e-08,-1.30090581653229,0.058,0.121,0.000215327714294541,"Upregulated in Mature Cytotoxic NK"
"NUDT14",1.58277210661866e-08,1.19720180936341,0.106,0.052,0.000222996762101503,"Upregulated in Activated Stressed NK"
"DOCK11",2.38685872308981e-08,-1.34103771373204,0.05,0.11,0.000336284525496124,"Upregulated in Mature Cytotoxic NK"
"TFRC",3.66177248136608e-08,1.14536681874124,0.119,0.063,0.000515907124899667,"Upregulated in Activated Stressed NK"
"SLC2A4RG",7.60795716566942e-08,-1.04726920432876,0.051,0.11,0.00107188508507117,"Upregulated in Mature Cytotoxic NK"
"IER5L",8.20234526352904e-08,1.30997270349593,0.135,0.078,0.00115562842417861,"Upregulated in Activated Stressed NK"
"MXD1",9.79732867608478e-08,1.13232796420708,0.135,0.077,0.00138034563717358,"Upregulated in Activated Stressed NK"
