"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.33903132373971e-08,0.156513385461116,0.262,0.094,0.000188656123201687,"5","CCDC28A"
1.34832740545928e-08,-0.231909452873772,0.315,0.118,0.000189965848155158,"5","BEX4"
1.3502551010824e-08,0.0508940976421317,0.185,0.057,0.000190237441191499,"5","MIIP"
1.36091120733357e-08,0.31504386106717,0.246,0.088,0.000191738780001226,"5","MALT1"
1.36741053167791e-08,-1.29626410901099,0.677,0.711,0.000192654469808101,"5","DUSP2"
1.38243919203152e-08,-0.161888034110863,0.246,0.085,0.00019477185776532,"5","SNX20"
1.38289424759014e-08,0.0279227232137213,0.354,0.142,0.000194835970542975,"5","PTK2B"
1.38618739892354e-08,-0.0774165047261999,0.369,0.147,0.000195299942634337,"5","YAF2"
1.3910840150755e-08,0.156051833452306,0.131,0.034,0.000195989826883987,"5","FBXL6"
1.39537689447042e-08,0.113567056137148,0.192,0.061,0.000196594650661937,"5","NPAT"
1.41802276259768e-08,-0.0431389784245604,0.154,0.043,0.000199785227022387,"5","DAPK3"
1.41804193136554e-08,-0.116441829008109,0.3,0.111,0.000199787927710091,"5","ATG5"
1.42021195791114e-08,0.187628696362169,0.215,0.072,0.0002000936627501,"5","GBP3"
1.42918899394074e-08,-0.163753793096163,0.377,0.15,0.00020135843735631,"5","UBAC2"
1.43234806716185e-08,0.14541561798513,0.208,0.068,0.000201803519182433,"5","PTTG1IP"
1.43833860692998e-08,0.0378675143377163,0.138,0.037,0.000202647526330364,"5","PDHX"
1.44534143167786e-08,0.142906529186562,0.177,0.054,0.000203634154309093,"5","PGRMC1"
1.4725021753509e-08,-0.144657703033504,0.454,0.189,0.000207460831485188,"5","BDP1"
1.48090314539852e-08,0.140468912616488,0.685,0.317,0.000208644444155198,"5","KRT10"
1.48341689239242e-08,0.541397147945618,0.154,0.044,0.000208998605969168,"5","THUMPD2"
1.4889444310274e-08,-0.0283812906430809,0.177,0.054,0.00020977738088745,"5","SNAP47"
1.48964777734891e-08,-0.213273335261113,0.469,0.194,0.000209876475350688,"5","MAT2A"
1.50895151911632e-08,0.765165531423245,0.1,0.022,0.000212596179528298,"5","AP4E1"
1.52436548399002e-08,-0.0184628795420929,0.246,0.086,0.000214767853039355,"5","NSMCE4A"
1.52982875221133e-08,-0.200436703837205,0.246,0.085,0.000215537572899055,"5","ZFX"
1.53062543181627e-08,0.577631491553815,0.131,0.034,0.000215649817088595,"5","ZADH2"
1.53156624570275e-08,-0.963930462159589,0.7,0.744,0.000215782368357061,"5","GZMB"
1.5333232572411e-08,-0.0715122669234239,0.277,0.101,0.000216029913712698,"5","USP33"
